,DATA.906792,DATA.924110,DATA.905947,DATA.905975,DATA.905939,DATA.905936,DATA.905974,DATA.909698,DATA.910903,DATA.905976,DATA.905977,DATA.909255,DATA.905961,DATA.905991,DATA.905978,DATA.1240202,DATA.1240197,DATA.909256,DATA.905969,DATA.909264,DATA.905964,DATA.1330935,DATA.905958,DATA.905982,DATA.1299075,DATA.905959,DATA.905981,DATA.909755,DATA.905946,DATA.905956,DATA.905962,DATA.905945,DATA.905983,DATA.687586,DATA.905954,DATA.905950,DATA.905963,DATA.906793,DATA.905951,DATA.905935,DATA.1240128,DATA.905949,DATA.684052,DATA.905984,DATA.905973,DATA.905960,DATA.909728,DATA.905965,DATA.905972,DATA.905968,DATA.906804,DATA.905971,DATA.905970,DATA.910851,DATA.905948,DATA.905952,DATA.905937,DATA.907067,DATA.687800,DATA.905967,DATA.905990,DATA.905979,DATA.908443,DATA.905933,DATA.905986,DATA.905942,DATA.905944,DATA.905955,DATA.905957,DATA.1480374,DATA.908123,DATA.905985,DATA.907790,DATA.905940,DATA.1240221,DATA.905980,DATA.907322,DATA.1240172,DATA.905989,DATA.722046,DATA.905941
0,7.074533486201321,3.09615758971995,6.604500422286731,7.5726724485910895,7.356123051957081,7.571164618405651,7.569300720269481,7.04394434986554,6.073319592318361,7.4749707050839405,8.23689437908475,8.72997433798613,7.06500492974628,7.84071887990181,4.69505447291551,10.293922232982801,8.33134074959498,7.9980193985499,8.04905024012838,7.98948062913707,3.18700862647869,3.32940572094483,3.24091946205446,7.47077221722821,5.34802288446343,7.284217850728231,7.852425763471509,8.141044269953639,7.625013071860441,8.5988196205732,7.82230673823197,7.34299641815662,6.534257376937241,5.66385108657489,7.48500432145553,7.58270487425275,7.64267487513507,6.33226644709654,6.3831475304701195,6.71850924968543,7.1734349534162,8.49596074268347,7.301344403901299,7.710807492494639,7.676336426349831,7.78398331989301,6.8942610698631395,3.16548554434027,9.10191259101158,8.14497333957489,7.75605086451733,6.9436704712413,7.956698377130821,7.87842557039827,6.66926400513072,3.2983164437157595,7.57843337650789,6.285120309663639,8.19238989090244,8.8656846990546,8.05285572566476,7.595934043516901,7.505294216065179,8.44662640316553,7.5946583498197695,7.31961565773057,8.827197526790881,7.84480304172734,5.1388610856707695,8.209124253197,8.68080042600767,7.06274379577454,6.218309015983309,3.2347009611957502,7.13834851609501,7.53585594786916,3.1791774142176603,7.277258404667389,6.865208746850111,7.730894879234519,5.80769527253106
3,4.27090270818336,5.23387113414345,3.63079102271734,3.90286451864025,4.82654418162637,4.16640318388738,3.57484915220047,3.68279805881,3.5637219652728396,4.17199057783902,3.74999030382035,4.0101825989326,5.30987106448754,3.61638704562358,3.4635515520139597,4.265257500933259,3.8954571058193,5.513958170033151,4.04275916975354,4.00770745633317,4.18203404071283,5.683341146923269,4.18750996121198,3.8295923306123703,4.3064136565093705,3.78777174846406,3.71345373893403,4.531812834679941,5.08484102097371,3.60309845208327,3.9937893153823705,4.67736291522525,4.1799857993561105,3.9898832949209,3.9560020489748298,4.04215212542877,4.15601604823402,4.73392043150358,3.8028166429792005,3.8619727548647003,4.271812781429221,4.154471456231169,4.1250877499535505,4.45101776162384,4.22564873684361,4.42509450525385,4.26332122902063,5.550494340971629,4.2126783433619,4.05636247670617,4.466948789525491,4.49547486050716,4.33342003344601,4.55393842213421,3.77072988153326,4.38655570117969,4.20019066826479,4.38891653577949,4.4797746392479505,4.85929298992942,3.99393641433195,3.52168006981997,4.76676476002255,3.82746905584149,3.6769088718314804,3.7343411445235497,3.9973662257210396,4.22589212080042,3.7216718203232,3.89454104584675,4.84734817379455,3.8411275595309706,3.70356763369942,4.51663582266764,4.33369499105977,3.6753353320159197,3.86711309730702,4.112698712926839,4.606264807590151,3.64812409143852,3.8183074705974596
19,6.55020966453507,7.40797965644886,7.01859608926234,6.1459131430039005,6.831212562204111,6.1409968736045,7.06939524136132,6.65346224710318,6.71814195507848,6.21874732351401,6.01758502087582,6.689146936952441,5.356381148642121,7.54783239736768,6.298595396840691,6.959592201947,6.625629248487719,7.39470420687132,6.9340201499210705,5.98797899702533,6.3701939329016195,6.83674907798859,6.64524827183646,6.93870024162405,9.19611418391165,6.50215996574026,6.86128685608036,6.01095711142316,6.43678875393144,5.016247651125981,6.10978469958693,7.7387396613646695,6.332124727595461,7.2253838257205,5.63477787546749,6.29222640075714,6.73311974317475,6.897594186816879,7.11972372600229,7.79887206959211,6.94841777157215,6.59682581170811,7.12767043326151,6.32956162512982,7.23747044831617,7.240548103102241,6.78668671942204,6.708307151486959,6.06240938308496,6.36726757610026,6.45589873029881,6.130805002154941,6.51994068614698,6.849115295421099,7.3461571878793395,6.57507031844478,7.564084769477919,5.941848548193519,6.54685571827475,7.6708630881549205,7.048383431063759,7.633087273623179,6.362047634795129,6.46961041377429,6.79877090245965,5.11773156886983,7.02387988272174,5.45375965451131,7.01008778799426,6.59219871827016,7.07101675938326,7.82791160724715,6.34626488295099,5.51179175273952,6.83422817726584,6.193191805744281,6.7324306639569995,8.03478166733371,5.48490551367313,6.233819462062769,6.991958788696059
20,6.93077739290471,7.67430848116781,5.851700156802259,7.22509720719046,6.49676362986925,6.76097700165488,6.798435531721691,6.50373679088922,7.03635606144264,6.44701630385533,6.16694565457383,6.28757828436486,6.420506761580019,5.43640430664726,8.181635309282779,5.54637298007588,6.23508342894813,6.46416071605324,6.04248439487667,5.70179912001812,7.98604325966033,6.87037423624293,6.399955124293621,5.5070772565808,5.39788788470856,5.10771853535157,5.88146037077031,7.655741353391321,6.73936134181715,6.03176170239915,5.392925562678161,5.759920428691441,5.37116710198696,5.817088566566389,6.26472373760696,5.82875182768466,6.6774435224228705,7.24292663989622,7.27708903819371,7.7282101264504695,6.6333656288138,5.82278322893556,6.29395193846995,6.91858331835231,5.659159755586789,6.07747194701075,6.70651470762619,8.144693983057751,5.86951265477968,6.49798071343618,5.82532963771083,7.50894283458303,5.07619030487551,5.48955909925793,6.07278404546594,6.493971207369441,5.47628515496904,5.856039927887981,6.7672734521710005,5.18571204871973,5.90332061920807,6.040851693699841,5.668325014617209,6.129635151924321,6.2126481648345,5.6712174824860595,4.97413988076641,7.69693566960176,5.99999006266971,7.517737930215059,6.42428824824634,6.214768061665669,5.22359592593898,6.21937264978635,5.79345408835457,7.195713562349019,7.474452633796179,7.99116025136675,6.46644822822227,7.03825754617746,5.64960519893286
28,5.099542171003099,7.035024129269099,5.36013854140139,5.2735695282354005,5.07865597193312,5.1315529650508305,5.28880955436426,4.83211423449197,4.63199761695156,4.72088881507188,5.75446939937433,5.34649488497739,5.82278413242113,4.67439066277664,4.70473212371634,4.66777722877681,5.23186453137845,4.605089914605831,4.45122735488685,4.627333997323349,4.94753394855969,6.27621128916805,5.0685138067912305,4.72054252392455,4.555567746069969,5.2393604692008005,4.40632248558974,5.03080930477261,4.13074632195069,4.96408758313136,4.80685737824527,5.18739240271923,5.20109860065921,4.745774478063121,4.8336936379751,4.93825997291855,4.75607342309599,4.35428233155572,4.61106638416211,4.90528662945827,4.29209608717883,5.03548439305099,4.79163104695341,5.09936890050471,4.44571435908556,4.91087488529841,4.996450573348049,4.639417086660809,4.74192646213214,4.959688675263889,4.40569988687145,4.8103805362050895,4.26154001351833,4.59277914134187,4.5377564628489,4.64153731565262,4.64129865661846,4.93472795368609,4.5869402379095705,5.21176876479064,4.87894481705445,5.61864233229584,5.0296047948886695,5.72746169374457,5.10465977779106,4.9401683157111,5.64558822195408,5.36991770132884,4.779015745634281,4.583064801131839,4.58748633555146,6.001953752445219,4.53853384167318,4.79086988467635,5.04694149370222,5.1194105427031795,8.031357592965911,4.3844404549254605,4.739671525926691,4.55716711040762,5.27029972638061
36,2.93721116671,2.93638056472297,3.1514338183073503,2.82632482971556,3.22875567946066,3.15542000505691,2.74772367789504,3.01990952296641,3.27756829378187,3.1469850710805,2.96049509183185,3.4218237795679998,3.2794493728518503,3.03292916560983,3.05116670056637,3.4426501445245896,3.1942847022054397,2.89318166726881,2.97453706388115,3.00321080266862,3.8840118066034703,3.2164322616175895,3.5138543089315597,2.9610518854533603,3.1162369150679905,3.1227991402889703,3.28174997280684,3.29414450918589,2.95654634383904,2.99773688696786,3.05997498158845,2.9339746334384302,2.9029160765382898,2.9645376832371197,3.18400386021647,3.10355494589342,3.1550350127474203,2.9666432490023897,2.95767607135092,3.02954921742572,2.9261877630128397,3.0790683805908197,2.86941426395956,2.8918459174119597,3.1531505851446897,3.2362755120681204,3.25993916446765,3.15280340646349,3.0695494085319703,2.93262338307617,3.08664842058261,3.2926976553108798,2.8930693322901297,3.06610076001097,3.0966023106747596,3.52644482502693,3.5962895377543505,2.9102074463927696,3.15315400340729,3.12157068797384,3.03784636315507,3.0203523768648197,3.01559759589061,3.26111329410323,2.9519129133208994,2.9301405863997503,3.1551623956791603,2.98274995469729,3.00957370842331,3.21725146989504,3.91993544787202,3.0914502169058298,3.3918340158625604,3.3955440225317997,3.3767170330469303,3.1144960125088104,3.14255309956487,2.9085334264412097,3.20620821277879,3.1852651591177303,3.01057072404773
37,4.810084289571799,7.92338145644706,5.46658880689215,4.86060816956355,5.59755996933342,4.72696568474535,5.3198566528943605,4.70790851345379,5.794909417869201,4.92391393993577,4.96924670786167,4.3683777106038795,6.02626108832099,5.36447906783612,6.86479644890271,7.802461682862769,6.5610034785369,5.24642466331829,5.9803141852046595,5.35876752748232,6.18278049046999,8.55739470091066,4.31698455275699,4.894615232781731,5.29188020471791,5.53219075269271,6.535716439700639,6.38843497270561,5.352942597936741,5.42958624067342,4.83756376688656,5.10987085295499,4.82190067094684,5.01899338368309,5.22780724600893,6.80294604437583,6.36346220817346,4.33982866060604,5.00196752100084,6.628638864536691,4.84179146684489,6.25625831113011,5.41447765921483,5.17140492384324,6.28888188730036,5.1913458974759505,5.67245967317584,5.598137898656669,6.2021108746680795,4.58767473719266,5.10183349504543,6.013565413788401,5.64970839981382,5.16692514739883,6.50825103643893,4.86163909688797,5.55887098231528,4.90851129154807,5.67027845431215,5.56384585492511,5.49385191684803,6.43377623320598,5.06541039809487,5.22090696629184,5.46765832315751,4.8257817596574,5.23558557194497,4.46309887072326,5.293544737044519,6.05717550771841,5.56832685063707,5.06717659773967,5.005126399997,5.818335569804209,5.043868295755249,6.36287827105954,8.035278859839691,5.061981883733759,5.30315818722596,5.7270907593688,5.674516348271049
49,7.43396434844311,8.19664447572635,8.19353712955355,7.904593855662639,7.55182017880997,8.214649479085459,8.22217444154201,8.407890990146429,7.52099096869334,7.4837984699332205,7.397515212633411,7.73408169854295,6.76344607122146,6.869659442667531,7.29042575524081,6.440069186541519,6.046524544392941,8.47664232465104,6.477163758689421,6.948492608512679,7.68150470321734,7.0997387386843895,7.463470434969831,6.50168773966869,9.31270839309809,6.359509950376589,6.81841222017446,7.859392472813231,8.86934998857101,6.770170368204269,8.27964921381217,9.248066553339712,6.55435796975688,7.27750450297078,6.91117480942806,7.69008564108599,7.30057214011951,7.771648336936599,7.87180772229097,7.539498183124139,7.9756511544520405,7.647651254060089,7.84829209739683,6.677849712802661,7.497059704435459,6.798616484754679,7.557902716137001,7.4655809131741,7.11177230540988,6.872551099709161,7.97767744009536,7.59740243178563,6.67375455564204,8.986874434434869,7.10779930072549,7.681445079285389,7.56487720303455,8.00949429655412,7.445750764430191,8.45371773719723,8.12073111167063,7.36099627789784,8.089376367802139,7.2684034796278,7.47195762270751,9.654326438758401,7.46740947851743,7.89017509965231,7.0546500049334,7.70974274663518,6.249475465778509,6.3184161360764,8.74760254388757,6.91130272317572,7.38090476518569,7.929702272585749,7.99626108085974,8.898765998255529,7.35181098776987,8.67243162942426,7.91963019612746
51,5.448226959191099,5.910926758232219,6.139729071037039,5.13574640488209,4.91258184075698,5.73963502184651,5.217561991798901,5.40838987913228,5.5638069095386795,5.23826406180117,4.19571868226933,5.32155493776254,5.37225164981045,6.24386027680489,4.80531149828095,5.46554222498634,5.055548745548929,6.00285978140107,5.03850505463371,5.30547282499464,5.89475910412261,6.02258444566326,6.18880258094215,5.8695686001898,5.875189907284981,5.348628670309809,5.62640506069669,5.5384065442687405,5.53537911939044,5.37324839713074,6.15358271089234,5.639244493793661,6.1470285644922305,4.66826645004995,4.9862895682741,4.93244106170485,4.66241045372802,6.18740910947664,5.64362163253139,5.04692727777218,5.39336118166932,4.898027593774709,5.31044402202438,5.1265966574172195,5.6067539890467,5.6611421291874,4.8395720787014405,5.71648891784962,6.21819659269267,5.12357832308756,5.4862809128955305,6.2139348207692,5.25055827481703,5.1858028115820805,4.37946550250245,5.88536466741865,5.67673924022361,6.039352852165309,4.9242190456462405,5.25430959714489,4.69921934642821,5.50374357188094,4.66096925215209,6.23711556156672,5.371073818405451,5.47105285960456,5.37380728807726,5.12541746054161,5.5091927845457995,4.69243375791708,5.06551387209206,5.025826009637121,6.24185045180875,5.20851688066771,5.48752040459667,5.109017630553191,5.9850034261758305,6.42713876873307,5.50517040656214,4.9092933763511795,4.84968227438971
63,8.57210939393129,5.393349018924559,6.25265766282847,8.23010483184467,7.64998410367252,5.67656503175003,6.0082667590301595,6.66204991575184,6.3629973064089205,7.940613440790241,9.09440803450549,8.43761174580164,6.816686785567629,6.1220281905257306,7.82239522137374,7.79469973758981,8.46454200585983,6.29237700435171,6.71737093159343,7.52768357843021,6.597132988334991,5.22660836901425,4.03450602806673,6.7258968770564405,7.306078097058389,5.711412917429991,6.504457191093559,6.7196689325694505,7.246616560427119,8.41781611288327,6.714320403951991,6.370420254561889,5.59973077594028,6.60298654237422,7.5244988785457005,7.600098454789371,6.662537826555719,6.63264907692105,6.38856706697974,6.66891077541651,6.18765606037525,6.79443340038653,5.35774832892247,6.28202262180889,7.052532403843871,6.11260796080304,5.8162524724597695,6.483128231302429,5.640655201222461,7.177232984020329,7.812525006437731,7.68377092806329,6.662869547849691,6.2473969122796795,7.0549705593411,4.92288706904406,6.36379190066762,7.934773556146441,5.86637544336229,4.3835966251487894,8.918789660419518,5.52498752625576,8.974730126334311,6.94714584157192,6.18910494686689,6.762514843817019,5.16829666106879,8.15631297011917,4.585561607902269,6.70954928100101,6.579664367478981,6.66727360925334,5.42744761653355,8.05002409341304,4.70598604147521,7.54004257476403,7.250686603993111,7.45087558221666,6.78705383376839,8.10278043418892,7.037304308428191
